1	0.00   	0.557   0.557
2	0.00	0.633   0.678
3	0.00	0.525   0.557
4	0.00	0.525   0.525
5    	0.00    0.525   0.525
6    	0.00    0.525   0.525
7     	0.00    0.525   0.525
8  	0.0     0.525   0.525
9    	0.0     0.525   0.525
10    	0.0     0.525   0.525
11    	0.0     0.525   0.525
12    	0.00    0.556   0.556
13    	0.0     1.012    1.126
14  	0.0     1.022    1.13
